sport,league,event_id,event_starts_at,matchup,alt_type,market_type,market,selection,headline_side,team,player,player_id,market_id,outcome_id,line,book,price,decimal_price,implied_prob,l5_pct,l10_pct,season_pct,estimated_prob,conservative_prob,edge_pct,ev_pct,confidence_score,shadow_status,rejection_reasons,recommended_units_pre_news,portfolio_shadow_units,stable_wager_id,cap_reasons,actionable,board,scope,as_of
WNBA,WNBA,ce28e39e53f06c32668c3d703ee9067eed9ba577,2026-08-14T23:30:00+00:00,DAL @ IND,SPREAD,GAMELINE,SPREAD,DAL +14,AWAY,DAL,,,69cbdd05c51aa1af4414d4627da4919ef384b30b,824a5aa11fb60d3e53e1a4253dde0df1238a5257,14.0,Fanatics,-255,1.3922,0.71831,80.0,90.0,,0.785714,0.619416,-9.889,-13.765,70.665,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:52:13.851220-04:00
MLB,MLB,6db6568d134f5df21219209469036a5e0afb6764,2026-08-14T23:10:00+00:00,BAL @ TB,SPREAD,GAMELINE,SPREAD,TB +1.5,HOME,TB,,,9ab5071dfae75d08fbe76eb8985a00ec2f42e0e7,558a4d2cb9f90bf48266f273e8684534ee9f2b71,1.5,Novig,-257,1.3891,0.71989,100.0,90.0,,0.785714,0.619416,-10.047,-13.957,73.165,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,e88e813157c3cc8b6fc6ba7b14140ce20f3397d8,2026-08-15T02:10:00+00:00,MIL @ LAD,TOTAL,TEAM_PROP,RUNS,LAD RUNS UNDER 6.5,UNDER,LAD,,,5af8527a71d02c1fde324d713dc73236efcbb64a,349f30a6c99f2512dd38d56164a712a79f531629,6.5,DraftKings,-450,1.2222,0.81818,100.0,100.0,,0.857143,0.700218,-11.796,-14.419,82.013,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
WNBA,WNBA,ce28e39e53f06c32668c3d703ee9067eed9ba577,2026-08-14T23:30:00+00:00,DAL @ IND,SPREAD,GAMELINE,SPREAD,DAL +18.5,AWAY,DAL,,,69cbdd05c51aa1af4414d4627da4919ef384b30b,ec78b6e06737f99776d2ae1717242916ea338744,18.5,Hard Rock,-450,1.2222,0.81818,100.0,100.0,,0.857143,0.700218,-11.796,-14.419,82.013,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:52:13.851220-04:00
MLB,MLB,aa778db9a68c2bad59ee411b142bb38274926a31,2026-08-15T01:40:00+00:00,TEX @ ATH,TOTAL,TEAM_PROP,RUNS,TEX RUNS UNDER 7.5,UNDER,TEX,,,e172b5cd1db0d53974f63075af25b48332d59807,605b87b75238e4e112240d69aaafc14a2dd4c43f,7.5,DraftKings,-450,1.2222,0.81818,100.0,100.0,,0.857143,0.700218,-11.796,-14.419,82.013,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,f0ccaafc838af31a96ed2832f49e52f61c23b38f,2026-08-14T23:10:00+00:00,WSH @ NYM,TOTAL,TEAM_PROP,TOTAL,WSH TOTAL OVER 2.5,OVER,WSH,,,695e7ee4d604b61c598183197e19a0c4e608f815,e5bfe0a97ab83d63196db671d9bb4616f91692cb,2.5,kalshi,-263.0,1.3802,0.72452,,90.0,,0.785714,0.619416,-10.51,-14.508,73.165,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,0a0695b5ceedd8e03ad7fc7168e13abaaa63c4c4,2026-08-15T02:15:00+00:00,COL @ SF,TOTAL,TEAM_PROP,RUNS,SF RUNS UNDER 4.5,UNDER,SF,,,16b3df35d70972486adcb556480c9791d0ec1abf,b22bdde800e076339d4532f10104fe8f4dcbb2b9,4.5,Midnite,-175,1.5714,0.63636,100.0,80.0,,0.714286,0.543686,-9.267,-14.565,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
MLB,MLB,e88e813157c3cc8b6fc6ba7b14140ce20f3397d8,2026-08-15T02:10:00+00:00,MIL @ LAD,TOTAL,GAMELINE,TOTAL,MIL @ LAD TOTAL OVER 5.5,OVER,,,,9b7f34f352096990dab7fafd92c4928db206a02b,91c50b9daaa955dc3c67054a3777e07202a4310e,5.5,Fanatics,-270,1.3704,0.72973,80.0,90.0,,0.785714,0.619416,-11.031,-15.115,70.665,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
WNBA,WNBA,2c0472374a8431b56a1ef85fed8792259c12cbb5,2026-08-15T02:00:00+00:00,PDX @ SEA,TOTAL,GAMELINE,TOTAL,PDX @ SEA TOTAL OVER 174.5,OVER,,,,16b88431d1fc228316527156a32a7938df78417a,48244b8d5763ec82e84a47b7a518b1a569207e5d,174.5,Fanatics,-180,1.5556,0.64286,80.0,80.0,,0.714286,0.543686,-9.917,-15.424,64.621,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:52:13.851220-04:00
MLB,MLB,ef20c401baa5b5cd51eab647418980093a9acd9a,2026-08-14T22:40:00+00:00,BOS @ PIT,TOTAL,TEAM_PROP,TOTAL,BOS TOTAL OVER 2.5,OVER,BOS,,,e6e23157c6b1b2502b876e029b1fd862fe663564,b41bab48a8a04f91b8aad748deb0c218790a4812,2.5,caesars,-275.0,1.3636,0.73333,,90.0,,0.785714,0.619416,-11.391,-15.536,73.165,REJECTED,CONSERVATIVE_EDGE_BELOW_1_5;CONSERVATIVE_EV_BELOW_1_5,,,,,false,ALT_SHADOW_REJECTED,full_game,2026-08-14T17:48:46.511965-04:00
